DC3000	241185	241186	241187	241188	241189	241190	241191	241193	241195	241199	241201	241203	241204	241205	241207	241211	241212	241216	241217	241219	241220	241227	241228	241231	241232	241234	241235	241237	241239	241241	241244	241247	241249	241250	241251	241252	241255	241256	241258	241261	241263	241266	241270	241271	241272	241273	241274	241275	241276	241277	241278	241279	241280	241281	241282	241283	241284	241285	241286	241287	241288	241289	241290	241291	241292	241293	241294	241296	241301	241303	241304	241309	241312	241317	241320	241326	241331	241333	241334	241335	241336	241338	241339	241342	241345	241346	241347	241348	241349	241351	241352	241353	241354	241361	241415	241417	241422	241423	241424	241425	241426	241431	241432	241458	241466	241467	241469	241472	241486	241492	241500	241501	241504	241507	241510	241544	241547	241563	241564	241565	241566	241567	241568	241569	241570	241571	241572	241573	241574	241575	241576	241578	241579	241580	241581	241582	241605	241613	241614	241616	241617	241620	241621	241630	241638
g21	g81	g80	g81	g81	g79	g79	g71	g84	g76	g80	g83	g81	g82	g82	g84	g80	g80	g77	g78	g77	g78	g82	g83	g78	g66	g76	g80	g81	g71	g80	g80	g80	g80	g80	g81	g81	g79	g82	g81	g72	g80	g78	g80	g80	g87	g79	g80	g80	g80	g80	g80	g80	g80	g25	g80	g80	g79	g78	g79	g80	g80	g80	g80	g80	g80	g80	g77	g79	g80	g84	g80	g82	g89	g82	g84	g81	g84	g83	g80	g87	g84	g84	g81	g83	g80	g80	g80	g81	g87	g80	g82	g80	g80	g89	g73	g76	g84	g81	g77	g80	g84	g81	g81	g84	g84	g80	g79	g78	g71	g84	g81	g80	g77	g81	g83	g84	g83	g80	g79	g79	g76	g80	g80	g80	g80	g78	g80	g79	g80	g80	g80	g80	g80	g80	g80	g77	g89	g81	g90	g89	g82	g84	g81	g33	g80
g22	g83	g81	g83	g83	g80	g80	g72	g86	g77	g81	g84	g82	g83	g83	g86	g81	g81	g78	g79	g78	g79	g83	g84	g79	g69	g77	g81	g83	g72	g81	g81	g81	g81	g81	g83	g83	g80	g83	g83	g73	g81	g79	g81	g81	g89	g80	g81	g81	g81	g81	g81	g81	g81	g26	g81	g81	g80	g79	g80	g81	g81	g81	g81	g81	g81	g81	g78	g80	g81	g85	g81	g83	g90	g83	g85	g82	g86	g84	g81	g89	g85	g85	g82	g84	g81	g81	g81	g82	g89	g81	g83	g81	g81	g91	g74	g77	g85	g83	g78	g81	g85	g82	g82	g85	g86	g81	g80	g79	g72	g85	g83	g81	g78	g83	g84	g85	g84	g81	g80	g80	g77	g81	g81	g81	g81	g79	g81	g80	g81	g81	g81	g81	g81	g81	g81	g78	g90	g83	g91	g90	g83	g85	g83	g34	g81
g23	g84	g83	g84	g84	g81	g81	g73	g87	g78	g83	g86	g83	g84	g84	g87	g83	g83	g79	g80	g79	g80	g84	g85	g80	g70	g78	g82	g84	g73	g83	g82	g82	g82	g83	g84	g84	g81	g84	g84	g75	g83	g80	g83	g83	g90	g81	g83	g83	g83	g83	g83	g83	g83	g27	g83	g83	g81	g80	g81	g83	g83	g83	g83	g83	g83	g83	g79	g81	g83	g86	g83	g84	g91	g84	g86	g83	g87	g86	g83	g90	g86	g86	g83	g86	g83	g83	g83	g83	g90	g83	g84	g83	g82	g92	g75	g78	g86	g84	g79	g82	g86	g83	g83	g86	g87	g83	g81	g80	g73	g86	g84	g83	g79	g84	g85	g86	g86	g83	g81	g81	g78	g83	g83	g83	g83	g80	g83	g81	g83	g83	g83	g83	g83	g83	g83	g79	g91	g84	g95	g91	g84	g86	g84	g35	g83
g24	g85	g84	g85	g86	g82	g82	g75	g88	g79	g84	g87	g84	g86	g86	g88	g84	g84	g80	g81	g80	g81	g85	g86	g81	g71	g79	g83	g85	g74	g84	g83	g83	g83	g84	g85	g85	g83	g85	g85	g76	g84	g81	g84	g84	g91	g83	g84	g84	g84	g84	g84	g84	g84	g28	g84	g84	g83	g81	g83	g84	g84	g84	g84	g84	g84	g84	g80	g83	g84	g87	g84	g85	g95	g85	g87	g84	g88	g87	g84	g91	g87	g87	g84	g87	g84	g84	g84	g84	g91	g84	g85	g84	g83	g93	g76	g79	g87	g85	g80	g83	g87	g84	g84	g87	g88	g84	g82	g81	g74	g87	g85	g84	g80	g85	g86	g87	g87	g84	g83	g83	g79	g84	g84	g84	g84	g81	g84	g83	g84	g84	g84	g84	g84	g84	g84	g80	g95	g86	g97	g95	g85	g87	g85	g43	g84
g25	g86	g85	g86	g87	g83	g83	g76	g89	g80	g85	g88	g85	g87	g87	g89	g85	g85	g81	g83	g81	g82	g86	g87	g82	g72	g80	g84	g86	g75	g85	g84	g84	g84	g85	g86	g86	g84	g86	g86	g77	g85	g82	g85	g85	g95	g84	g85	g85	g85	g85	g85	g85	g85	g29	g85	g85	g84	g83	g84	g85	g85	g85	g85	g85	g85	g85	g81	g84	g85	g88	g85	g86	g97	g86	g88	g86	g89	g88	g85	g95	g88	g88	g86	g88	g85	g85	g85	g86	g95	g85	g86	g85	g84	g95	g77	g80	g88	g86	g81	g84	g88	g86	g86	g88	g89	g85	g83	g82	g75	g88	g86	g85	g81	g86	g87	g88	g88	g85	g84	g84	g80	g85	g85	g85	g85	g83	g85	g84	g85	g85	g85	g85	g85	g85	g85	g81	g97	g87	g98	g97	g86	g88	g86	g44	g85
g26	g87	g86	g87	g88	g84	g84	g77	g90	g81	g86	g89	g86	g88	g88	g90	g86	g86	g82	g84	g82	g83	g87	g88	g83	g73	g81	g85	g87	g76	g86	g85	g85	g85	g86	g87	g87	g86	g87	g87	g78	g86	g83	g86	g86	g97	g85	g86	g86	g86	g86	g86	g86	g86	g30	g86	g86	g85	g84	g85	g86	g86	g86	g86	g86	g86	g86	g82	g85	g86	g89	g86	g87	g98	g87	g89	g87	g90	g89	g86	g97	g89	g89	g87	g89	g86	g86	g86	g87	g97	g86	g87	g86	g85	g98	g78	g81	g89	g87	g82	g86	g89	g87	g87	g89	g90	g86	g84	g83	g76	g89	g87	g86	g82	g87	g88	g89	g89	g86	g85	g85	g81	g86	g86	g86	g86	g84	g86	g85	g86	g86	g86	g86	g86	g86	g86	g82	g98	g88	g99	g98	g87	g89	g87	g64	g86
g27	g88	g87	g88	g89	g85	g86	g78	g91	g82	g87	g90	g87	g89	g89	g91	g87	g87	g83	g85	g83	g84	g88	g89	g84	g74	g82	g86	g88	g77	g87	g86	g86	g86	g87	g88	g88	g87	g88	g88	g79	g87	g84	g87	g87	g98	g86	g87	g87	g87	g87	g87	g87	g87	g31	g87	g87	g86	g85	g86	g87	g87	g87	g87	g87	g87	g87	g83	g86	g87	g90	g87	g88	g99	g88	g90	g88	g91	g90	g87	g98	g90	g90	g88	g90	g87	g87	g87	g88	g98	g87	g88	g87	g86	g102	g79	g82	g90	g88	g83	g87	g90	g88	g88	g90	g91	g87	g86	g84	g77	g90	g88	g87	g83	g88	g89	g90	g90	g87	g86	g86	g82	g87	g87	g87	g87	g85	g87	g86	g87	g87	g87	g87	g87	g87	g87	g83	g99	g89	g101	g99	g88	g90	g88	g66	g87
g28	g89	g88	g89	g90	g86	g87	g79	g92	g83	g88	g91	g88	g90	g90	g92	g88	g88	g84	g86	g84	g85	g89	g90	g86	g75	g83	g87	g89	g78	g88	g87	g87	g87	g88	g89	g89	g88	g89	g89	g80	g88	g85	g88	g88	g99	g87	g88	g88	g88	g88	g88	g88	g88	g32	g88	g88	g87	g86	g87	g88	g88	g88	g88	g88	g88	g88	g84	g87	g88	g91	g88	g89	g101	g89	g91	g89	g92	g91	g88	g99	g91	g91	g89	g91	g88	g88	g88	g89	g99	g88	g89	g88	g87	g104	g80	g83	g91	g89	g84	g88	g91	g89	g89	g91	g92	g88	g87	g85	g78	g91	g89	g88	g84	g89	g90	g91	g91	g88	g87	g87	g83	g88	g88	g88	g88	g86	g88	g87	g88	g88	g88	g88	g88	g88	g88	g84	g101	g90	g104	g101	g89	g91	g89	g69	g88
g29	g90	g89	g90	g91	g87	g88	g80	g93	g84	g89	g95	g89	g91	g91	g93	g89	g89	g85	g87	g85	g86	g90	g91	g87	g76	g84	g88	g90	g79	g89	g88	g88	g88	g89	g90	g90	g89	g90	g90	g81	g89	g86	g89	g89	g101	g88	g89	g89	g89	g89	g89	g89	g89	g33	g89	g89	g88	g87	g88	g89	g89	g89	g89	g89	g89	g89	g85	g88	g89	g95	g89	g90	g104	g90	g92	g90	g93	g92	g89	g101	g92	g92	g90	g92	g89	g89	g89	g90	g101	g89	g90	g89	g88	g105	g81	g84	g92	g90	g85	g89	g92	g90	g90	g92	g93	g89	g88	g86	g79	g92	g90	g89	g85	g90	g91	g92	g92	g89	g88	g88	g84	g89	g89	g89	g89	g87	g89	g88	g89	g89	g89	g89	g89	g89	g89	g85	g104	g91	g106	g104	g90	g92	g90	g70	g89
g30	g91	g90	g91	g92	g88	g89	g81	g94	g85	g90	g97	g90	g92	g92	g94	g90	g90	g86	g88	g86	g87	g91	g92	g88	g77	g85	g89	g91	g80	g90	g89	g89	g89	g90	g91	g91	g90	g91	g91	g83	g90	g87	g90	g90	g104	g89	g90	g90	g90	g90	g90	g90	g90	g34	g90	g90	g89	g88	g89	g90	g90	g90	g90	g90	g90	g90	g86	g89	g90	g97	g90	g91	g106	g91	g93	g91	g94	g93	g90	g104	g93	g93	g91	g93	g90	g90	g90	g91	g104	g90	g91	g90	g89	g106	g82	g85	g93	g91	g86	g90	g93	g91	g91	g93	g94	g90	g89	g87	g80	g93	g91	g90	g86	g91	g92	g93	g93	g90	g89	g89	g85	g90	g90	g90	g90	g88	g90	g89	g90	g90	g90	g90	g90	g90	g90	g86	g106	g92	g107	g106	g91	g93	g91	g71	g90
g31	g92	g91	g92	g93	g89	g90	g83	g95	g86	g91	g98	g91	g93	g93	g95	g91	g91	g87	g89	g87	g88	g92	g93	g89	g78	g86	g90	g92	g81	g91	g90	g90	g90	g91	g92	g92	g91	g92	g92	g84	g91	g88	g91	g91	g106	g90	g91	g91	g91	g91	g91	g91	g91	g35	g91	g91	g90	g89	g90	g91	g91	g91	g91	g91	g91	g91	g87	g90	g91	g98	g91	g92	g109	g92	g94	g92	g95	g94	g91	g106	g94	g94	g92	g94	g91	g91	g91	g92	g106	g91	g92	g91	g90	g115	g83	g86	g94	g92	g87	g91	g94	g92	g92	g94	g95	g91	g90	g88	g81	g94	g92	g91	g87	g92	g93	g94	g94	g91	g90	g90	g86	g91	g91	g91	g91	g89	g91	g90	g91	g91	g91	g91	g91	g91	g91	g87	g107	g93	g109	g109	g92	g94	g92	g72	g91
g32	g93	g92	g93	g94	g90	g91	g84	g97	g87	g92	g99	g92	g94	g94	g97	g92	g92	g88	g90	g88	g89	g93	g95	g90	g79	g87	g91	g93	g82	g92	g91	g91	g91	g92	g93	g93	g92	g93	g93	g86	g92	g89	g92	g92	g109	g91	g92	g92	g92	g92	g92	g92	g92	g44	g92	g92	g91	g90	g91	g92	g92	g92	g92	g92	g92	g92	g88	g91	g92	g99	g92	g93	g111	g93	g95	g93	g97	g95	g92	g109	g95	g95	g93	g95	g92	g92	g92	g93	g107	g92	g93	g92	g91	g117	g84	g87	g95	g93	g88	g92	g95	g93	g93	g95	g97	g92	g91	g89	g82	g95	g93	g92	g88	g93	g94	g95	g95	g92	g91	g91	g87	g92	g92	g92	g92	g90	g92	g91	g92	g92	g92	g92	g92	g92	g92	g88	g109	g94	g111	g111	g93	g95	g93	g73	g92
g33	g94	g93	g95	g95	g91	g92	g86	g98	g88	g93	g101	g93	g95	g95	g98	g93	g93	g89	g91	g89	g90	g94	g97	g91	g80	g88	g92	g94	g83	g93	g92	g92	g92	g93	g94	g94	g93	g94	g94	g87	g93	g90	g93	g93	g112	g92	g93	g93	g93	g93	g93	g93	g93	g64	g93	g93	g92	g91	g92	g93	g93	g93	g93	g93	g93	g93	g89	g92	g93	g101	g93	g94	g112	g94	g97	g94	g98	g97	g93	g111	g97	g97	g94	g97	g93	g93	g93	g94	g109	g93	g94	g93	g92	g119	g85	g88	g97	g94	g89	g93	g97	g94	g94	g97	g98	g93	g92	g90	g83	g97	g94	g93	g89	g95	g95	g97	g97	g93	g92	g92	g88	g93	g93	g93	g93	g91	g93	g92	g93	g93	g93	g93	g93	g93	g93	g89	g111	g95	g112	g112	g94	g97	g94	g75	g93
g34	g95	g95	g97	g97	g92	g93	g87	g99	g89	g95	g103	g94	g97	g97	g99	g95	g95	g90	g92	g90	g91	g95	g98	g92	g81	g89	g93	g95	g84	g95	g93	g93	g93	g95	g95	g95	g94	g95	g95	g88	g94	g91	g95	g95	g113	g93	g95	g95	g95	g95	g95	g95	g95	g66	g95	g95	g93	g92	g93	g95	g95	g95	g95	g95	g95	g95	g90	g93	g95	g104	g95	g95	g113	g95	g98	g95	g99	g98	g95	g112	g98	g98	g95	g98	g95	g95	g95	g95	g111	g95	g95	g95	g93	g120	g86	g89	g98	g95	g90	g94	g98	g95	g95	g98	g99	g95	g93	g91	g84	g98	g95	g95	g90	g97	g97	g98	g98	g95	g93	g93	g89	g95	g95	g95	g95	g92	g95	g93	g95	g95	g95	g95	g95	g95	g95	g90	g112	g97	g113	g113	g95	g98	g95	g76	g95
g35	g97	g97	g98	g98	g93	g94	g88	g101	g90	g97	g104	g95	g98	g98	g100	g97	g97	g91	g93	g91	g92	g97	g99	g93	g82	g90	g94	g97	g85	g97	g94	g94	g94	g97	g97	g97	g95	g97	g97	g89	g95	g92	g97	g97	g114	g95	g97	g97	g97	g97	g97	g97	g97	g69	g97	g97	g95	g93	g95	g97	g97	g97	g97	g97	g97	g97	g91	g95	g97	g106	g97	g97	g114	g97	g99	g97	g100	g99	g97	g113	g99	g99	g97	g99	g97	g97	g97	g97	g112	g97	g97	g97	g94	g121	g87	g90	g99	g97	g91	g95	g99	g97	g97	g99	g101	g97	g94	g92	g85	g99	g97	g97	g91	g98	g98	g99	g99	g97	g95	g95	g90	g97	g97	g97	g97	g93	g97	g95	g97	g97	g97	g97	g97	g97	g97	g91	g113	g98	g114	g114	g97	g99	g97	g77	g97
g36	g98	g98	g99	g99	g94	g95	g89	g102	g91	g98	g106	g97	g99	g99	g101	g98	g98	g92	g95	g92	g93	g98	g100	g94	g83	g91	g95	g98	g86	g98	g95	g95	g95	g98	g98	g98	g97	g98	g98	g90	g97	g93	g98	g98	g115	g97	g98	g98	g98	g98	g98	g98	g98	g70	g98	g98	g97	g95	g97	g98	g98	g98	g98	g98	g98	g98	g92	g97	g98	g107	g98	g98	g115	g98	g100	g98	g101	g100	g98	g114	g100	g100	g98	g100	g98	g98	g98	g98	g113	g98	g98	g98	g95	g122	g88	g91	g100	g98	g92	g97	g101	g98	g98	g100	g102	g98	g95	g93	g86	g101	g98	g98	g92	g99	g99	g100	g100	g98	g97	g97	g91	g98	g98	g98	g98	g95	g98	g97	g98	g98	g98	g98	g98	g98	g98	g92	g114	g99	g115	g115	g98	g100	g98	g78	g98
g37	g99	g99	g101	g100	g95	g97	g90	g104	g92	g99	g107	g98	g100	g100	g104	g99	g99	g93	g97	g93	g94	g99	g101	g95	g84	g92	g97	g99	g87	g99	g97	g97	g97	g99	g99	g99	g98	g99	g99	g91	g98	g94	g99	g99	g116	g98	g99	g99	g99	g99	g99	g99	g99	g71	g99	g99	g98	g97	g98	g99	g99	g99	g99	g99	g99	g99	g93	g98	g99	g109	g99	g99	g116	g99	g101	g99	g102	g101	g99	g115	g101	g101	g99	g101	g99	g99	g99	g99	g114	g99	g99	g99	g97	g123	g89	g92	g101	g99	g93	g98	g104	g99	g99	g101	g104	g99	g97	g94	g87	g104	g99	g99	g93	g101	g100	g101	g101	g99	g98	g98	g92	g99	g99	g99	g99	g97	g99	g98	g99	g99	g99	g99	g99	g99	g99	g93	g115	g101	g116	g116	g99	g101	g99	g79	g99
g38	g100	g101	g102	g101	g97	g98	g91	g105	g93	g100	g109	g99	g101	g101	g105	g100	g100	g94	g98	g94	g95	g100	g104	g97	g85	g93	g98	g100	g88	g100	g98	g98	g98	g100	g100	g100	g99	g100	g100	g92	g99	g95	g100	g100	g117	g99	g100	g100	g100	g100	g100	g100	g100	g72	g100	g100	g99	g98	g99	g100	g100	g100	g100	g100	g100	g100	g94	g99	g100	g111	g100	g100	g117	g100	g104	g100	g104	g104	g100	g116	g104	g104	g100	g102	g100	g100	g100	g100	g115	g100	g100	g100	g98	g125	g90	g93	g102	g100	g94	g99	g105	g100	g100	g102	g105	g100	g98	g95	g88	g105	g100	g101	g94	g102	g101	g102	g102	g100	g99	g99	g93	g100	g100	g100	g100	g98	g100	g99	g100	g100	g100	g100	g100	g100	g100	g94	g116	g104	g117	g117	g100	g102	g100	g80	g100
g39	g101	g102	g103	g104	g98	g99	g92	g106	g94	g101	g113	g100	g104	g104	g106	g101	g101	g95	g99	g95	g97	g101	g105	g98	g86	g94	g99	g101	g89	g101	g99	g99	g99	g101	g101	g101	g100	g101	g101	g93	g100	g97	g101	g101	g118	g100	g101	g101	g101	g101	g101	g101	g101	g73	g101	g101	g100	g99	g100	g101	g101	g101	g101	g101	g101	g101	g95	g100	g101	g112	g101	g101	g118	g101	g105	g101	g105	g105	g101	g117	g105	g105	g101	g104	g101	g101	g101	g101	g116	g101	g101	g101	g99	g126	g91	g94	g104	g101	g95	g100	g106	g101	g101	g104	g106	g101	g99	g97	g89	g106	g101	g102	g95	g103	g102	g104	g104	g101	g100	g100	g94	g101	g101	g101	g101	g99	g101	g100	g101	g101	g101	g101	g101	g101	g101	g95	g117	g105	g118	g118	g101	g104	g101	g81	g101
g40	g102	g103	g104	g105	g99	g100	g93	g107	g95	g102	g114	g101	g105	g105	g107	g102	g102	g96	g100	g97	g98	g104	g106	g99	g87	g95	g100	g102	g90	g102	g100	g100	g100	g102	g102	g102	g101	g102	g102	g94	g101	g98	g102	g102	g119	g101	g102	g102	g102	g102	g102	g102	g102	g75	g102	g102	g101	g100	g101	g102	g102	g102	g102	g102	g102	g102	g96	g101	g102	g113	g102	g102	g119	g102	g106	g102	g106	g106	g102	g118	g106	g106	g102	g105	g102	g102	g102	g102	g117	g102	g102	g102	g100	g127	g92	g95	g105	g102	g96	g101	g107	g102	g102	g105	g107	g102	g100	g98	g90	g107	g102	g103	g97	g104	g104	g105	g105	g102	g101	g101	g95	g102	g102	g102	g102	g100	g102	g101	g102	g102	g102	g102	g102	g102	g102	g96	g118	g106	g119	g119	g102	g105	g102	g83	g102
g41	g103	g104	g105	g106	g101	g101	g95	g109	g97	g103	g115	g102	g106	g106	g109	g103	g103	g97	g101	g98	g99	g105	g107	g100	g88	g97	g101	g103	g91	g103	g101	g101	g101	g103	g103	g103	g102	g104	g103	g95	g102	g99	g103	g103	g120	g102	g103	g103	g103	g103	g103	g103	g103	g76	g103	g103	g102	g101	g102	g103	g103	g103	g103	g103	g103	g103	g97	g102	g103	g114	g103	g104	g120	g104	g109	g104	g107	g107	g103	g119	g107	g109	g104	g106	g103	g103	g103	g104	g118	g103	g104	g103	g101	g129	g93	g98	g106	g103	g97	g102	g109	g104	g104	g106	g109	g103	g101	g99	g91	g109	g103	g104	g98	g105	g105	g106	g106	g103	g102	g102	g96	g103	g103	g103	g103	g101	g103	g102	g103	g103	g103	g103	g103	g103	g103	g97	g119	g109	g120	g120	g104	g106	g104	g84	g103
g42	g104	g105	g106	g109	g102	g102	g97	g111	g98	g104	g116	g104	g107	g107	g111	g104	g104	g98	g102	g99	g100	g107	g109	g101	g89	g98	g102	g104	g92	g104	g102	g102	g102	g104	g104	g104	g103	g105	g104	g97	g103	g100	g104	g104	g121	g103	g104	g104	g104	g104	g104	g104	g104	g77	g104	g104	g103	g102	g103	g104	g104	g104	g104	g104	g104	g104	g98	g103	g104	g115	g104	g105	g121	g105	g111	g105	g109	g109	g104	g120	g109	g111	g105	g107	g104	g104	g104	g105	g119	g104	g105	g104	g102	g137	g94	g99	g107	g104	g98	g104	g111	g105	g105	g107	g111	g104	g102	g100	g92	g111	g104	g105	g99	g106	g106	g107	g107	g104	g103	g103	g97	g104	g104	g104	g104	g102	g104	g103	g104	g104	g104	g104	g104	g104	g104	g98	g120	g111	g121	g121	g105	g107	g105	g86	g104
g43	g105	g106	g107	g111	g104	g104	g98	g112	g99	g105	g117	g105	g109	g109	g112	g105	g105	g99	g103	g100	g101	g109	g111	g102	g90	g99	g104	g105	g93	g105	g103	g103	g103	g105	g105	g105	g104	g107	g105	g98	g104	g101	g105	g105	g122	g104	g105	g105	g105	g105	g105	g105	g105	g78	g105	g105	g104	g103	g104	g105	g105	g105	g105	g105	g105	g105	g99	g104	g105	g116	g105	g106	g122	g106	g112	g107	g111	g111	g105	g121	g111	g112	g107	g109	g105	g105	g105	g106	g120	g105	g106	g105	g104	g140	g95	g100	g109	g105	g99	g105	g112	g107	g107	g109	g112	g105	g104	g101	g93	g112	g105	g106	g100	g107	g107	g109	g109	g105	g104	g104	g98	g105	g105	g105	g105	g103	g105	g104	g105	g105	g105	g105	g105	g105	g105	g99	g121	g112	g122	g122	g106	g109	g106	g87	g105
g44	g106	g107	g109	g112	g105	g105	g99	g113	g100	g106	g118	g107	g111	g111	g113	g106	g106	g100	g104	g101	g102	g111	g112	g104	g91	g100	g105	g106	g94	g106	g104	g104	g104	g106	g106	g106	g105	g109	g106	g99	g105	g102	g106	g106	g123	g105	g106	g106	g106	g106	g106	g106	g106	g79	g106	g106	g105	g104	g105	g106	g106	g106	g106	g106	g106	g106	g100	g105	g106	g117	g106	g107	g123	g107	g113	g109	g112	g112	g106	g122	g112	g113	g109	g111	g106	g106	g106	g107	g121	g106	g107	g106	g105	g143	g96	g101	g111	g106	g100	g107	g113	g109	g109	g111	g113	g106	g105	g102	g94	g113	g106	g107	g101	g109	g109	g111	g111	g106	g105	g105	g99	g106	g106	g106	g106	g104	g106	g105	g106	g106	g106	g106	g106	g106	g106	g100	g122	g113	g123	g123	g107	g111	g107	g88	g106
g45	g107	g109	g112	g113	g106	g107	g101	g114	g101	g107	g119	g109	g112	g112	g114	g107	g107	g101	g105	g102	g103	g112	g113	g105	g92	g101	g107	g107	g95	g107	g105	g105	g105	g107	g107	g107	g107	g111	g107	g100	g106	g103	g107	g107	g125	g106	g107	g107	g107	g107	g107	g107	g107	g80	g107	g107	g106	g105	g106	g107	g107	g107	g107	g107	g107	g107	g101	g106	g107	g118	g107	g109	g125	g109	g114	g111	g113	g113	g107	g123	g113	g114	g111	g112	g107	g107	g107	g109	g122	g107	g109	g107	g107	g144	g97	g102	g112	g107	g101	g109	g114	g111	g111	g112	g114	g107	g107	g103	g95	g114	g107	g109	g102	g112	g111	g112	g112	g107	g106	g106	g100	g107	g107	g107	g107	g105	g107	g106	g107	g107	g107	g107	g107	g107	g107	g101	g123	g114	g125	g125	g109	g112	g109	g89	g107
g46	g109	g112	g113	g114	g107	g109	g104	g115	g102	g109	g120	g111	g113	g113	g115	g109	g109	g102	g106	g103	g104	g113	g114	g107	g93	g102	g109	g109	g97	g109	g107	g107	g107	g109	g109	g109	g109	g112	g109	g101	g107	g104	g109	g109	g126	g107	g109	g109	g109	g109	g109	g109	g109	g81	g109	g109	g107	g106	g107	g109	g109	g109	g109	g109	g109	g109	g102	g107	g109	g119	g109	g111	g126	g111	g115	g112	g114	g114	g109	g125	g114	g115	g112	g113	g109	g109	g109	g111	g123	g109	g111	g109	g109	g146	g98	g103	g113	g109	g102	g111	g115	g112	g112	g113	g115	g109	g109	g104	g97	g115	g109	g112	g104	g113	g112	g113	g113	g109	g107	g107	g101	g109	g109	g109	g109	g106	g109	g107	g109	g109	g109	g109	g109	g109	g109	g102	g125	g115	g126	g126	g111	g113	g111	g90	g109
g47	g112	g113	g114	g115	g109	g111	g105	g116	g103	g112	g121	g112	g114	g114	g116	g112	g112	g103	g107	g104	g105	g114	g115	g109	g94	g103	g111	g111	g98	g112	g109	g109	g109	g112	g111	g111	g111	g113	g111	g102	g109	g105	g112	g112	g127	g109	g112	g112	g112	g112	g112	g111	g112	g83	g112	g112	g109	g107	g109	g112	g112	g112	g112	g112	g112	g112	g103	g109	g112	g120	g112	g112	g127	g112	g116	g113	g115	g115	g112	g126	g115	g116	g113	g114	g112	g112	g112	g112	g125	g112	g112	g112	g111	g152	g99	g104	g114	g111	g103	g112	g116	g113	g113	g114	g116	g112	g111	g105	g98	g116	g111	g113	g105	g114	g113	g114	g114	g112	g109	g109	g102	g112	g112	g112	g112	g107	g112	g109	g112	g112	g112	g112	g112	g112	g112	g103	g126	g116	g127	g127	g112	g114	g112	g91	g112
g48	g113	g114	g115	g116	g111	g113	g106	g117	g104	g113	g122	g113	g115	g115	g117	g113	g113	g104	g109	g105	g106	g115	g116	g111	g95	g104	g112	g112	g99	g113	g111	g111	g111	g113	g112	g112	g112	g114	g112	g104	g111	g106	g113	g113	g128	g112	g113	g113	g113	g113	g113	g112	g113	g84	g113	g113	g112	g109	g112	g113	g113	g113	g113	g113	g113	g113	g104	g112	g113	g121	g113	g113	g128	g113	g117	g114	g116	g116	g113	g127	g116	g117	g114	g115	g113	g113	g113	g113	g126	g113	g113	g113	g112	g156	g100	g105	g115	g112	g104	g113	g117	g114	g114	g115	g117	g113	g112	g106	g99	g117	g112	g114	g106	g115	g114	g115	g115	g113	g112	g112	g103	g113	g113	g113	g113	g109	g113	g112	g113	g113	g113	g113	g113	g113	g113	g104	g127	g117	g128	g128	g113	g115	g113	g92	g113
g49	g114	g115	g116	g117	g112	g115	g107	g118	g105	g114	g123	g114	g116	g116	g118	g114	g114	g105	g112	g106	g107	g116	g117	g112	g97	g105	g113	g113	g100	g114	g112	g112	g112	g114	g113	g113	g113	g115	g113	g105	g112	g107	g114	g114	g129	g113	g114	g114	g114	g114	g114	g113	g114	g85	g114	g114	g113	g112	g113	g114	g114	g114	g114	g114	g114	g114	g105	g113	g114	g122	g114	g114	g129	g114	g119	g115	g117	g117	g114	g128	g117	g119	g115	g116	g114	g114	g114	g114	g127	g114	g114	g114	g113	g157	g101	g106	g116	g113	g105	g114	g118	g115	g115	g116	g118	g114	g113	g107	g100	g118	g113	g115	g107	g116	g115	g116	g116	g114	g113	g113	g104	g114	g114	g114	g114	g111	g114	g113	g114	g114	g114	g114	g114	g114	g114	g105	g128	g118	g129	g129	g114	g116	g114	g93	g114
g50	g115	g116	g117	g118	g113	g116	g109	g119	g106	g115	g125	g115	g117	g117	g119	g115	g115	g106	g113	g107	g109	g117	g118	g113	g98	g107	g114	g114	g101	g115	g113	g113	g113	g115	g114	g114	g114	g116	g114	g106	g113	g109	g115	g115	g130	g114	g115	g115	g115	g115	g115	g114	g115	g86	g115	g115	g114	g113	g114	g115	g115	g115	g115	g115	g115	g115	g106	g114	g115	g123	g115	g115	g130	g115	g120	g116	g118	g118	g115	g129	g118	g120	g116	g117	g115	g115	g115	g115	g128	g115	g115	g115	g114	g158	g102	g107	g117	g114	g106	g115	g119	g116	g116	g117	g119	g115	g114	g109	g101	g119	g114	g116	g109	g117	g116	g117	g117	g115	g114	g114	g105	g115	g115	g115	g115	g112	g115	g114	g115	g115	g115	g115	g115	g115	g115	g106	g129	g119	g130	g130	g115	g117	g115	g94	g115
